GW,ARS,AVL,CRY,BHA,BOU,CHE,EVE,FUL,LEI,LIV,MCI,MUN,NFO,SOU,WHU,WOL,TOT,NEW,LEE
1,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,
